Aufgabenstring;Kompletter User-Input;Gesamtzeit (Sek.);Zwischenzeiten (Sek.);
198418;198418;4,434814;1,579117 0,7089462 0,6546402 0,4236603 0,5802383 0,4882126;
251561;25167561;4,915016;0,8001022 0,3621979 0,3652725 0,4680176 0,664566 1,022224 0,4989471 0,7336884;
385656;385656;3,419167;1,146271 0,5011368 0,5308533 0,4349747 0,4055862 0,4003448;
725328;725328;4,066597;1,208183 0,4453049 0,4309235 0,7743759 0,7519913 0,4558182;
136794;1367954;4,092361;0,7033005 0,4966125 0,5264359 0,6559372 0,7232056 0,4434509 0,5434189;
949518;949518;4,227905;0,9899902 0,6330032 0,9868622 0,5885315 0,530304 0,4992142;
357452;357452;3,562851;1,166695 0,6810455 0,4524841 0,4627686 0,4349518 0,3649063;
521823;521823;3,835403;1,00177 0,7532806 0,4121094 0,6876144 0,444809 0,53582;
745134;7415134;4,355972;1,344017 0,3885727 0,5584717 0,5001068 0,3857269 0,5202103 0,6588669;
252685;252685;3,326797;0,8538208 0,4558868 0,5300446 0,4711304 0,6295166 0,3863983;
