Aufgabenstring;Kompletter User-Input;Gesamtzeit (Sek.);Zwischenzeiten (Sek.);
539696;539696;4,935466;1,417112 0,8321714 0,8804383 0,5277429 0,8655272 0,4124746;
697926;697926;4,494384;1,19026 0,6217833 1,070303 0,8338509 0,4209404 0,3572464;
281397;281397;4,637138;0,9240541 1,300733 0,3894615 0,5099831 0,8558445 0,6570625;
457246;457246;4,06848;0,9030266 0,3670254 0,7190399 0,7806587 0,8352566 0,4634724;
469592;469592;3,772989;0,9263649 0,5004101 0,5791149 0,8640785 0,4342346 0,4687862;
137627;137627;3,90814;0,8997669 0,4364738 0,6026268 0,8179703 0,4734383 0,6778641;
962897;962897;3,688522;1,000763 0,4016113 0,5402489 0,7120247 0,4669647 0,5669098;
548926;548926;3,481533;0,890419 0,6139832 0,6098366 0,4008064 0,5361595 0,4303284;
593867;593867;3,782814;0,9242134 0,7105179 0,5655441 0,5479851 0,5783157 0,4562378;
524923;524923;3,61248;0,8645706 0,3729172 0,5622406 0,8146591 0,5998993 0,3981934;
